X,Y,Z,roll,pitch,yaw,img,path,camID
177085.7147,2535849.5531,46.78,-82.574939066,-4.382514073,-161.39787163100002,200721_023716054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177082.0344,2535847.6279,46.7541,-82.338204998,-4.641570937,-161.457962948,200721_023717054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177077.9568,2535845.5305,46.7277,-82.93380426600001,-5.079106606,-163.205297952,200721_023718054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177073.3526,2535843.3885,46.7747,-82.296400911,-5.065396081,-164.45089813,200721_023719054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177068.2896,2535841.0742,46.7664,-82.32023418,-4.9552957189999995,-164.253172841,200721_023720054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177062.9706,2535838.6323,46.7703,-82.203935965,-3.9416172919999997,-163.929339768,200721_023721054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177057.5788,2535836.0926,46.6905,-82.431583766,-4.46193907,-164.039362122,200721_023722054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177052.0081,2535833.5585,46.6711,-82.505889436,-4.752699091,-165.080759704,200721_023723054_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177046.4529,2535831.1308,46.6932,-82.887340017,-5.199256615,-166.077547894,200721_023724055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177040.9747,2535828.8865,46.7296,-82.29832601300001,-4.006587328999999,-167.28669608299998,200721_023725055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177036.0268,2535826.9504,46.704,-82.47510871899999,-4.158767933,-168.167628067,200721_023726055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177031.8085,2535825.4037,46.6938,-81.694082535,-4.374463582,-166.39199698,200721_023727055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177028.5259,2535823.847,46.6969,-81.832066658,-4.587753673,-152.512879865,200721_023728055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177026.1688,2535821.7174,46.6949,-81.822070834,-4.286851152,-130.90839598899998,200721_023729055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177024.8033,2535818.8579,46.6758,-81.577032182,-4.7465768,-107.112199689,200721_023730055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177024.7824,2535815.1049,46.6728,-82.196438209,-4.939012547,-84.920861085,200721_023731055_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177026.1047,2535811.0182,46.6799,-82.51831805100001,-4.697011946,-75.783323858,200721_023732057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177027.9935,2535806.8278,46.6681,-82.424096532,-4.954329883,-73.757205602,200721_023733062_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177030.1872,2535802.0965,46.6703,-82.460893083,-4.791323562,-74.537196572,200721_023734067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177032.3712,2535797.1453,46.6723,-82.191892682,-4.778517981,-75.53153557600001,200721_023735067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177034.3991,2535792.3833,46.6796,-81.563709641,-4.684768363,-75.20411321,200721_023736067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177036.3919,2535788.2021,46.7099,-81.36621738699999,-4.291091334,-66.836843965,200721_023737067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177038.7606,2535785.0178,46.7012,-81.592377965,-4.806555184,-49.505302107,200721_023738067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177041.833,2535783.0019,46.7133,-82.317193711,-4.273932603,-25.181841361,200721_023739067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177045.4175,2535782.4222,46.6697,-81.839598011,-5.002553289,-2.369170122,200721_023740067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177049.2318,2535783.1928,46.6871,-81.630744419,-4.9175798639999995,10.889675604,200721_023741067_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177053.1664,2535784.7794,46.7041,-81.73098548600001,-4.871267395,15.206357169,200721_023742066_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177057.2635,2535786.6913,46.7094,-82.22233061600001,-4.936007277,16.453817528,200721_023743063_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177061.3977,2535788.6761,46.7339,-82.64125616300001,-4.685356361,16.738356013,200721_023744061_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177065.4515,2535790.5801,46.7345,-82.004056393,-4.540975296,13.930231252999999,200721_023745059_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177069.5941,2535792.1162,46.7194,-82.290046745,-4.246092631000001,5.107712586,200721_023746058_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177073.9071,2535792.8366,46.6814,-82.78910193899999,-4.474517198,-11.497592264000001,200721_023747058_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177078.1934,2535792.2556,46.6676,-82.576476908,-4.508818423,-22.393102639000002,200721_023748057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177082.2173,2535791.3093,46.6541,-81.869418796,-4.699882086000001,-16.928968313,200721_023749057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177086.265,2535791.061,46.6664,-81.41830864,-4.5835212919999995,-0.203278801,200721_023750057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177090.2832,2535792.1451,46.6691,-81.494399147,-4.500881809,19.819000826,200721_023751057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177093.5442,2535794.4859,46.6653,-81.985099549,-4.821956027,40.578520025,200721_023752057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
177095.781,2535797.571,46.6695,-83.193930077,-4.553051768,46.394593711000006,200721_023753057_Camera_3.jpg,/home/chihyu/Desktop/Camera/WhiteBalance085/200721_023721/Camera3,3
